dataset,project,pPath,pId,codeLine,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,lang,org/apache/commons/lang3/StringUtils,30,1577,1,0,0,0,0,0,0,0,0,1,9,8,0.02173913,1
defect4j,lang,org/apache/commons/lang3/StringUtils,30,1576,0,1,0,2,5,0,3,0,0,4,34,6,0.02173913,1
defect4j,lang,org/apache/commons/lang3/StringUtils,30,1538,1,1,1,2,5,0,0,0,0,4,27,9,0,1
defect4j,lang,org/apache/commons/lang3/StringUtils,30,1539,1,0,0,0,0,0,0,0,0,1,15,11,0,1
defect4j,lang,org/apache/commons/lang3/StringUtils,31,1447,1,0,0,1,2,0,3,0,0,4,23,7,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,31,1449,1,1,1,2,5,0,0,0,0,4,27,8,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,31,1452,0,0,0,0,0,0,0,0,0,1,12,10,1,1
defect4j,lang,org/apache/commons/lang3/ClassUtils,33,909,5,1,0,1,3,0,0,0,0,7,40,4,1,1
defect4j,lang,org/apache/commons/lang3/ClassUtils,33,910,0,0,1,3,6,0,1,0,0,6,33,6,1,1
defect4j,lang,org/apache/commons/lang3/ArrayUtils,35,3295,1,0,0,0,0,0,0,1,0,3,20,7,1,1
defect4j,lang,org/apache/commons/lang3/ArrayUtils,37,2962,4,0,0,1,2,0,4,0,0,8,71,5,1,1
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,872,1,0,0,2,4,0,2,1,0,5,39,6,1,1
defect4j,lang,org/apache/commons/lang/StringUtils,40,1048,0,0,0,3,6,0,5,0,0,5,60,5,1,1
defect4j,lang,org/apache/commons/lang/math/Fraction,49,466,1,0,0,2,4,0,5,0,0,6,66,5,1,1
defect4j,lang,org/apache/commons/lang/BooleanUtils,51,677,1,1,0,1,3,0,0,0,0,3,16,6,1,1
defect4j,lang,org/apache/commons/lang/LocaleUtils,57,223,0,0,0,1,2,0,3,0,0,3,44,5,1,1
defect4j,lang,org/apache/commons/lang/text/StrBuilder,59,884,0,0,0,1,2,0,5,0,0,5,38,9,1,1
defect4j,lang,org/apache/commons/lang/text/StrBuilder,60,1673,5,1,0,1,3,0,0,0,0,7,42,4,1,1
defect4j,lang,org/apache/commons/lang/text/StrBuilder,61,1776,4,1,0,0,0,0,0,0,0,5,34,5,1,1
defect4j,lang,org/apache/commons/lang/Entities,62,845,2,3,0,1,3,0,0,0,0,7,37,15,1,1
defect4j,lang,org/apache/commons/lang/Entities,62,848,1,0,0,2,4,0,4,0,0,6,56,17,1,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,306,1,0,0,0,0,0,0,0,0,2,11,6,1,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,312,1,0,0,0,0,0,0,0,0,2,12,6,1,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,320,3,0,0,1,2,0,4,0,0,8,66,4,0.214285714,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,321,3,0,0,1,2,0,4,0,0,8,67,4,0.214285714,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,322,3,0,0,1,2,0,4,0,0,8,66,4,0.214285714,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,323,3,0,0,1,2,0,4,0,0,8,63,4,0.214285714,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,324,3,0,0,1,2,0,4,0,0,8,60,4,0.214285714,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,319,3,0,0,1,2,0,4,0,0,8,66,4,0.214285714,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,318,3,0,0,1,2,0,4,0,0,8,81,4,0.214285714,1
defect4j,time,org/joda/time/MutableDateTime,3,785,0,0,0,5,10,0,6,0,0,6,59,5,1,1
defect4j,time,org/joda/time/MutableDateTime,3,764,0,0,0,5,10,0,6,0,0,6,57,5,0.058681421,1
defect4j,time,org/joda/time/MutableDateTime,3,702,0,0,0,5,10,0,6,0,0,6,61,5,0.058681421,1
defect4j,time,org/joda/time/MutableDateTime,3,639,0,0,0,5,10,0,7,0,0,7,67,5,0.058681421,1
defect4j,time,org/joda/time/MutableDateTime,3,723,0,0,0,5,10,0,6,0,0,6,59,5,0.058681421,1
defect4j,time,org/joda/time/MutableDateTime,3,660,0,0,0,5,10,0,6,0,0,6,59,5,0.058681421,1
defect4j,time,org/joda/time/chrono/GJChronology,6,979,1,0,0,1,2,0,2,0,0,4,37,11,1,1
defect4j,time,org/joda/time/chrono/GJChronology,6,195,1,0,0,1,2,0,2,0,0,4,46,6,0.007506632,1
defect4j,time,org/joda/time/chrono/GJChronology,6,192,1,1,0,1,3,0,0,0,0,2,31,4,0.006181549,1
defect4j,time,org/joda/time/format/DateTimeFormatter,16,708,1,0,0,0,1,0,0,2,0,3,55,4,1,1
defect4j,time,org/joda/time/DateTimeZone,17,1167,4,2,0,1,2,0,1,0,0,7,88,5,1,1
defect4j,time,org/joda/time/DateTimeZone,17,1169,2,1,0,1,3,0,0,0,0,3,36,4,1,1
defect4j,time,org/joda/time/DateTimeZone,17,1168,4,2,0,1,2,0,1,0,0,7,87,5,1,1
defect4j,time,org/joda/time/DateTimeZone,17,1174,1,0,0,1,2,0,2,0,0,3,40,5,1,1
defect4j,time,org/joda/time/DateTimeZone,17,1175,3,0,0,1,2,0,2,0,0,6,86,5,1,1
defect4j,chart,org/jfree/data/time/TimeSeries,3,1050,1,1,0,1,3,0,0,0,0,2,16,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1071,1,0,0,0,0,0,0,0,0,1,12,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1056,2,0,0,2,4,0,0,2,0,4,45,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1053,2,1,0,1,3,0,0,0,0,3,18,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1060,1,0,0,0,0,0,0,1,0,2,23,8,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1062,1,0,0,2,4,0,2,2,0,5,61,8,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1064,0,0,0,1,2,0,3,0,0,3,16,11,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1059,5,1,0,1,3,0,0,0,0,7,48,6,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,564,0,0,0,1,2,0,2,0,0,3,16,5,0.47826087,0
defect4j,chart,org/jfree/data/general/Series,3,244,2,0,0,1,2,0,0,1,0,4,42,4,0.254658385,0
defect4j,chart,org/jfree/data/general/Series,3,245,3,0,0,1,2,0,0,1,0,5,63,4,0.254658385,0
defect4j,chart,org/jfree/data/general/Series,3,246,1,0,0,0,0,0,0,0,0,1,13,4,0.254658385,0
defect4j,chart,org/jfree/data/general/Series,3,243,2,0,0,2,4,0,0,2,0,4,38,4,0.254658385,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,360,1,0,0,0,0,0,0,0,0,1,17,5,0.146245059,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,345,1,0,0,0,0,0,0,0,0,1,17,5,0.146245059,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,653,0,0,0,1,2,0,3,0,0,4,25,5,0.023842917,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,667,0,0,0,1,2,0,3,0,0,3,18,5,0.023842917,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,666,3,0,0,1,2,0,0,2,0,5,64,4,0.023842917,0
defect4j,chart,org/jfree/data/time/Year,3,171,1,0,0,0,0,0,0,0,0,1,17,5,0.014492754,0
defect4j,chart,org/jfree/data/time/Year,3,367,1,0,0,0,0,0,0,0,0,1,14,4,0.014492754,0
defect4j,chart,org/jfree/data/time/Year,3,350,2,1,0,1,2,0,2,0,0,6,33,6,0.014492754,0
defect4j,chart,org/jfree/data/time/Year,3,349,2,0,0,1,2,0,0,2,0,4,19,6,0.014492754,0
defect4j,chart,org/jfree/data/time/Year,3,348,1,0,0,1,3,0,0,1,0,2,25,5,0.014492754,0
defect4j,chart,org/jfree/data/time/Year,3,253,1,0,0,0,0,0,0,0,0,1,17,5,0.014492754,0
defect4j,chart,org/jfree/data/time/Year,3,269,2,0,0,1,2,0,2,0,0,4,38,5,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,268,3,0,0,1,2,0,2,0,0,5,54,5,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,272,0,0,0,2,4,0,3,0,0,3,36,5,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,287,3,0,0,1,2,0,2,0,0,5,59,5,0.012925969,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,680,0,0,0,1,2,0,3,0,0,4,25,5,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,119,2,0,0,1,2,0,0,0,0,3,25,4,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,114,2,0,0,1,3,1,0,0,0,3,23,2,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,115,6,3,0,3,7,0,0,0,0,9,63,4,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,288,2,0,0,1,2,0,2,0,0,4,40,5,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,212,1,0,0,1,2,0,2,0,0,4,52,4,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,211,1,0,0,1,2,0,2,0,0,4,54,4,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,291,0,0,0,2,4,0,3,0,0,3,36,5,0.012925969,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,121,2,0,0,2,4,0,0,1,0,3,32,4,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,120,0,0,0,2,4,0,3,0,0,3,28,5,0.012925969,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,694,0,0,0,1,2,0,3,0,0,3,18,5,0.012925969,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,693,3,0,0,1,2,0,0,2,0,5,64,4,0.012925969,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,881,1,0,0,0,2,0,0,0,0,1,24,8,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,429,1,0,0,2,4,0,2,1,0,4,49,5,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,603,1,1,0,2,4,0,2,1,0,5,59,6,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,463,0,0,0,2,4,0,3,0,0,3,41,5,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1296,0,0,0,1,2,0,4,0,0,4,22,9,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,584,1,0,0,2,5,0,2,0,0,4,43,5,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1269,0,0,0,2,5,0,3,0,0,3,22,7,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,885,1,0,0,1,3,0,0,0,0,1,14,6,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,605,1,0,0,1,2,0,2,0,0,3,20,9,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,604,0,1,0,3,7,0,4,0,0,5,43,6,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,606,1,0,0,0,0,0,0,0,0,3,13,8,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,878,1,1,0,3,6,0,3,0,0,5,65,7,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,879,1,0,0,0,0,0,0,0,0,2,24,7,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1273,0,0,0,1,2,0,4,0,0,4,22,9,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1292,0,0,0,2,5,0,3,0,0,3,22,7,0.00621118,0
defect4j,chart,org/jfree/data/event/SeriesChangeEvent,3,70,1,0,0,1,2,0,0,0,0,1,19,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,638,0,0,0,1,2,0,1,0,0,1,20,9,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,634,0,0,0,1,2,0,1,0,0,2,62,7,0.005055612,0
defect4j,chart,org/jfree/data/general/Series,3,329,5,2,0,1,3,0,0,0,0,8,55,4,0.005055612,0
defect4j,chart,org/jfree/data/general/Series,3,328,2,0,0,2,4,0,1,1,0,4,57,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,629,1,1,0,2,5,0,1,0,0,3,45,6,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,627,0,0,0,1,2,0,2,0,0,2,31,7,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,626,1,0,0,1,3,0,0,0,0,1,12,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,111,1,0,0,0,0,0,0,0,0,3,22,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,106,1,1,0,1,3,0,0,0,0,2,21,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1289,1,0,0,0,0,0,0,0,0,1,9,6,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1288,0,0,0,2,5,0,3,0,0,3,22,5,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,141,1,0,0,0,0,0,0,0,0,1,18,5,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,637,1,0,0,1,3,0,0,0,0,1,13,6,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,130,1,0,0,0,0,0,0,0,0,1,19,5,0.005055612,0
defect4j,chart,org/jfree/data/event/SeriesChangeEvent,3,82,1,0,0,1,2,0,0,0,0,1,14,4,0.005055612,0
defect4j,chart,org/jfree/data/event/SeriesChangeEvent,3,83,2,0,0,0,0,0,0,0,0,3,23,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,579,1,0,0,2,4,0,2,1,0,5,41,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,576,1,1,0,1,3,0,0,0,0,2,19,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,110,2,0,0,0,0,0,0,0,0,3,19,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,582,2,0,0,0,0,0,0,0,0,3,25,6,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1215,2,0,0,1,2,0,2,0,0,5,39,6,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1212,0,1,0,2,5,0,2,0,0,3,30,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1213,1,0,0,1,2,0,2,0,0,3,28,7,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1211,1,0,0,1,2,0,2,1,0,4,28,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,580,1,0,0,2,4,0,3,1,0,5,38,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,581,1,1,0,1,3,0,0,0,0,2,35,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,597,1,0,0,1,2,0,1,0,0,2,27,5,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,266,1,0,0,0,0,0,0,1,0,2,20,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,268,2,0,0,1,2,0,0,0,0,3,22,6,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,596,1,0,0,0,0,0,0,0,0,2,22,5,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,599,1,0,0,1,2,0,2,0,0,3,20,7,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,598,1,1,0,1,3,0,0,0,0,2,17,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1265,0,0,0,2,5,0,3,0,0,3,22,5,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1266,1,0,0,0,0,0,0,0,0,1,9,6,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,109,2,0,0,0,0,0,0,0,0,3,21,4,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1214,2,0,0,1,2,0,2,0,0,5,39,6,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,105,3,0,0,1,3,1,0,2,0,6,67,2,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,273,1,0,0,0,0,0,0,0,0,1,13,4,0.005055612,0
defect4j,chart,org/jfree/data/time/RegularTimePeriod,3,71,1,0,0,0,0,2,0,2,0,5,74,1,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,600,1,0,0,0,0,0,0,0,0,3,13,6,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,877,0,1,0,2,5,0,1,0,0,2,25,4,0.005055612,0
defect4j,chart,org/jfree/data/general/Series,3,316,0,0,0,2,4,0,1,1,0,2,45,7,0.005055612,0
defect4j,chart,org/jfree/data/general/Series,3,315,1,0,0,1,3,0,0,0,0,1,18,5,0.005055612,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,254,1,0,0,1,2,0,1,0,0,2,24,5,0.000925069,0
defect4j,chart,org/jfree/data/general/Series,3,121,1,0,0,0,0,0,0,0,0,3,19,4,0,0
defect4j,chart,org/jfree/data/general/Series,3,120,1,0,0,1,2,0,0,1,0,3,61,4,0,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,189,1,0,0,0,0,0,0,0,0,2,28,4,0,0
defect4j,chart,org/jfree/data/general/Series,3,104,1,0,0,1,2,0,0,0,0,1,16,4,0,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,169,3,0,0,1,2,0,0,0,0,3,66,4,0,0
defect4j,chart,org/jfree/data/general/Series,3,118,2,0,0,0,0,0,0,0,0,3,31,4,0,0
defect4j,chart,org/jfree/data/general/Series,3,119,1,0,0,1,2,0,0,1,0,3,41,4,0,0
defect4j,chart,org/jfree/data/general/Series,3,114,1,1,0,1,3,0,0,0,0,2,18,4,0,0
defect4j,chart,org/jfree/data/general/Series,3,117,2,0,0,0,0,0,0,0,0,3,15,4,0,0
defect4j,chart,org/jfree/data/general/Series,3,113,3,0,0,1,3,1,0,2,0,6,54,2,0,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,190,4,0,0,1,2,0,0,0,0,5,38,4,0,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,186,1,0,0,1,2,0,0,0,0,1,12,4,0,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,188,2,0,0,0,0,0,0,0,0,3,19,4,0,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,191,3,0,0,0,0,0,0,0,0,4,42,4,0,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,193,3,0,0,0,0,0,0,0,0,4,23,4,0,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,192,3,0,0,0,0,0,0,0,0,4,37,4,0,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,194,3,0,0,0,0,0,0,0,0,4,23,4,0,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,187,2,0,0,0,0,0,0,0,0,3,21,4,0,0
defect4j,chart,org/jfree/data/time/Week,8,221,0,0,0,1,2,0,2,0,0,2,14,5,1,0
defect4j,chart,org/jfree/data/time/Week,8,219,2,0,0,1,2,0,0,0,0,3,25,6,1,0
defect4j,chart,org/jfree/data/time/Week,8,199,0,0,0,1,2,0,3,0,0,3,23,5,1,0
defect4j,chart,org/jfree/data/time/Week,8,198,1,0,0,1,2,0,4,1,0,6,55,4,1,0
defect4j,chart,org/jfree/data/time/Week,8,211,1,0,0,2,4,0,4,0,0,6,57,6,1,0
defect4j,chart,org/jfree/data/time/Week,8,212,3,0,0,1,2,0,2,0,0,5,39,7,1,0
defect4j,chart,org/jfree/data/time/Week,8,215,4,1,0,1,3,0,2,0,0,7,52,7,1,0
defect4j,chart,org/jfree/data/time/Week,8,195,1,1,0,1,3,0,0,0,0,2,21,4,1,0
defect4j,chart,org/jfree/data/time/Week,8,192,1,1,0,1,3,0,0,0,0,2,19,4,1,0
defect4j,chart,org/jfree/data/time/Week,8,188,4,0,0,1,3,1,0,3,0,8,54,2,1,0
defect4j,chart,org/jfree/data/time/Week,8,189,1,1,0,1,3,0,0,0,0,2,19,4,1,0
defect4j,chart,org/jfree/data/time/Week,8,205,1,1,0,0,1,0,0,0,0,2,17,5,1,0
defect4j,chart,org/jfree/data/time/Week,8,204,3,0,0,1,2,0,2,0,0,5,51,5,1,0
defect4j,chart,org/jfree/data/time/Week,8,248,1,0,0,0,0,0,0,0,0,1,17,5,0.633333333,0
defect4j,chart,org/jfree/data/time/Week,8,406,0,0,0,1,2,0,2,0,0,2,10,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,412,2,0,0,1,2,0,2,0,0,4,26,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,413,2,0,0,1,2,0,2,0,0,4,31,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,388,2,0,0,1,2,0,2,0,0,4,31,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,411,2,0,0,1,2,0,2,0,0,4,26,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,415,0,1,0,2,4,0,3,0,0,4,33,4,0,0
defect4j,chart,org/jfree/data/time/Week,8,382,3,0,0,1,2,0,2,0,0,5,32,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,383,3,0,0,1,2,0,2,0,0,5,40,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,380,1,0,0,2,4,0,2,2,0,5,41,4,0,0
defect4j,chart,org/jfree/data/time/Week,8,381,0,0,0,1,2,0,2,0,0,2,10,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,386,2,0,0,1,2,0,2,0,0,4,26,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,289,1,0,0,1,2,0,2,0,0,4,52,4,0,0
defect4j,chart,org/jfree/data/time/Week,8,384,2,0,0,2,4,0,4,0,0,6,51,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,385,2,0,0,1,2,0,2,0,0,4,24,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,288,1,0,0,1,2,0,2,0,0,4,54,4,0,0
defect4j,chart,org/jfree/data/time/Week,8,409,2,0,0,2,4,0,4,0,0,6,51,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,408,3,1,0,1,2,0,2,0,0,6,44,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,405,1,0,0,2,4,0,2,2,0,5,41,4,0,0
defect4j,chart,org/jfree/data/time/Week,8,133,2,0,0,1,2,0,0,0,0,3,25,4,0,0
defect4j,chart,org/jfree/data/time/Week,8,132,2,0,0,1,2,0,0,0,0,3,24,4,0,0
defect4j,chart,org/jfree/data/time/Week,8,134,0,0,0,2,4,0,3,0,0,3,28,5,0,0
defect4j,chart,org/jfree/data/time/Week,8,387,2,0,0,1,2,0,2,0,0,4,26,5,0,0
defect4j,chart,org/jfree/data/time/RegularTimePeriod,8,70,1,0,0,0,0,2,0,2,0,5,74,1,0,0
defect4j,chart,org/jfree/data/time/Week,8,390,0,0,0,2,4,0,3,0,0,3,29,5,0,0
defect4j,chart,org/jfree/data/time/RegularTimePeriod,8,161,1,0,0,1,2,3,2,1,0,7,71,2,0,0
defect4j,chart,org/jfree/data/time/Week,8,128,4,3,0,3,7,0,0,0,0,7,64,4,0,0
